Nº,NOME, IDADE,ALTURA,POSIÇÃO
1,Walewska,27,"1,90",Meio de rede
2,Carol Albuquerque,29,"1,82",Levantadora
3,Mari,23,"1,88",Ponteira
4,Paula,24,"1,84",Ponteira
5,Carol Gattaz,25,"1,92",Meio de rede
7,Fofão,36,"1,73",Levantadora
9,Fabiana,21,"1,93",Meio de rede
10,Sassá,24,"1,79",Ponteira
12,Jaque,22,"1,86",Ponteira
13,Sheilla,23,"1,85",Oposto
14,Fabí,26,"1,69",Líbero
17,Renatinha,25,"1,81",Oposto
