Nº,NOME, IDADE,ALTURA,POSIÇÃO
1,Gabriru,24,"1,75",Líbero
3,Dani Lins,33,"1,81",Levantadora
4,Carol,27,"1,83",Meio de rede
5,Adenizia,31,"1,85",Meio de rede
6,Thaisa,31,"1,96",Meio de rede
7,Rosamaria ,24,"1,85",Oposto
9,Roberta ,28,"1,85",Levantadora
10,Gabriela,24,"1,80",Ponteira
12,Natália,29,"1,86",Ponteira
14,Drussyla ,22,"1,82",Ponteira
16,Fê Garay,32,"1,79",Ponteira
17,Suelen ,30,"1,66",Líbero
19,Tandara,29,"1,84",Oposto
20,Bia,26,"1,87",Meio de rede
