Nº,NOME, IDADE,ALTURA,POSIÇÃO
1,Fabiana,25,"1,93",Meio de rede
2,Carol Gattaz,29,"1,92",Meio de rede
3,Dani Lins,25,"1,81",Levantadora
5,Adenizia,23,"1,85",Meio de rede
6,Thaisa,23,"1,96",Meio de rede
8,Jaque,26,"1,86",Ponteira
10,Sassá,28,"1,79",Ponteira
11,Joyce,26,"1,90",Oposto
12,Natália,21,"1,86",Ponteira
13,Sheilla,27,"1,85",Oposto
14,Fabí,30,"1,69",Líbero
16,Fê Garay,24,"1,79",Ponteira
17,Fabíola,27,"1,84",Levantadora
18,C. Brait,22,"1,70",Líbero
